PurchaseID,PurchaseTimestamp,PurchaseDate,Auction,VehYear,Make,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,MMRCurrentRetailRatio,PRIMEUNIT,AUCGUART,VNST,VehBCost,IsOnlineSale,WarrantyCost,ForSale,IsBadBuy
12731,1274140800,18/05/2010 10:00,MANHEIM,2007,CHRYSLER,SILVER,AUTO,1,Alloy,78416,AMERICAN,MEDIUM,CHRYSLER,7619,8781,11432,12554,7783,8718,11101,12474,0.889931057,?,?,PA,7550,0,1155,Yes,0
12732,1274140800,18/05/2010 10:00,MANHEIM,2006,FORD,ORANGE,AUTO,1,Alloy,89711,AMERICAN,SMALL SUV,FORD,8065,10385,12013,14660,7416,9664,11611,13748,0.844559209,?,?,PA,8390,0,983,Yes,0
12733,1274140800,18/05/2010 10:00,MANHEIM,2007,CHEVROLET,BLUE,AUTO,1,Alloy,69857,AMERICAN,LARGE,GM,8653,10127,12917,14210,8408,9974,12424,14247,0.872043237,?,?,PA,7890,0,1703,Yes,0
12734,1274140800,18/05/2010 10:00,MANHEIM,2006,DODGE,WHITE,AUTO,1,Alloy,94730,AMERICAN,MEDIUM,CHRYSLER,4311,5699,7411,9797,4377,5352,8008,8726,0.917717167,?,?,PA,4105,0,1630,Yes,0
12735,1274745600,25/05/2010 10:00,MANHEIM,2007,CHRYSLER,WHITE,AUTO,2,Covers,79177,AMERICAN,CROSSOVER,CHRYSLER,9458,10887,13525,14829,9699,11452,13759,15343,0.896760738,?,?,PA,8290,0,1389,Yes,1
12736,1274745600,25/05/2010 10:00,MANHEIM,2007,DODGE,RED,AUTO,2,Covers,57512,AMERICAN,VAN,CHRYSLER,6731,8533,11469,13014,6343,7935,10742,12459,0.862187977,?,?,PA,6975,0,1251,Yes,0
12737,1274745600,25/05/2010 10:00,MANHEIM,2004,MERCURY,BLACK,AUTO,1,Alloy,62552,AMERICAN,MEDIUM,FORD,3051,4443,6239,7755,4398,6257,8159,10246,0.796310755,?,?,PA,5730,0,825,Yes,1
12738,1274745600,25/05/2010 10:00,MANHEIM,2007,FORD,BLUE,AUTO,1,Alloy,79997,AMERICAN,LARGE,FORD,8578,10412,12878,14338,7640,9705,12100,13586,0.8906227,?,?,PA,7290,0,1506,Yes,0
12739,1274745600,25/05/2010 10:00,MANHEIM,2005,VOLKSWAGEN,GREY,AUTO,1,Alloy,52564,OTHER,SPECIALTY,OTHER,7917,9076,11761,12909,7972,8905,11326,12481,0.907459338,?,?,PA,8990,0,1003,Yes,1
12740,1274745600,25/05/2010 10:00,MANHEIM,2007,FORD,GREY,AUTO,1,Alloy,76858,AMERICAN,LARGE,FORD,8578,10412,12878,14338,8370,10433,12262,14115,0.868721219,?,?,PA,6675,0,1506,Yes,0
12741,1274745600,25/05/2010 10:00,MANHEIM,2007,CHRYSLER,RED,AUTO,1,Alloy,75668,AMERICAN,MEDIUM,CHRYSLER,9267,10970,12627,14239,8868,10231,12490,13768,0.90717606,?,?,PA,7290,0,1272,Yes,0
12742,1274745600,25/05/2010 10:00,MANHEIM,2007,FORD,BLACK,AUTO,1,Alloy,90020,AMERICAN,LARGE,FORD,8578,10412,12878,14338,8057,9984,12134,13835,0.877050958,?,?,PA,7690,0,1774,Yes,0
12743,1274745600,25/05/2010 10:00,MANHEIM,2007,CHEVROLET,BLACK,AUTO,1,Alloy,91216,AMERICAN,MEDIUM SUV,GM,10340,12236,14658,16266,10538,12094,14708,16036,0.917186331,?,?,PA,8290,0,1630,Yes,0
12744,1274745600,25/05/2010 10:00,MANHEIM,2007,FORD,BLUE,AUTO,1,Alloy,88953,AMERICAN,CROSSOVER,FORD,11704,14833,15470,18481,10874,13810,15080,17100,0.881871345,?,?,PA,7690,0,1633,Yes,0
12745,1274745600,25/05/2010 10:00,MANHEIM,2005,CHRYSLER,BLUE,AUTO,1,Alloy,69888,AMERICAN,MEDIUM,CHRYSLER,4296,5331,7404,8542,3975,5339,7601,8961,0.848231224,?,?,PA,5630,0,1215,Yes,1
12746,1274745600,25/05/2010 10:00,MANHEIM,2005,SATURN,GREY,AUTO,1,Alloy,52412,AMERICAN,MEDIUM,GM,4664,5695,7798,8946,4203,5357,7005,8109,0.863854976,?,?,PA,5930,0,671,Yes,0
12747,1274745600,25/05/2010 10:00,MANHEIM,2006,DODGE,BLACK,AUTO,1,Alloy,46867,AMERICAN,MEDIUM SUV,CHRYSLER,9546,10849,14045,14636,9073,10926,13852,15144,0.914685684,?,?,PA,10105,0,905,Yes,0
12748,1274745600,25/05/2010 10:00,MANHEIM,2006,CHRYSLER,GREEN,AUTO,1,Alloy,80574,AMERICAN,VAN,CHRYSLER,11175,11968,15257,15896,11175,11968,15307,16017,0.955672098,?,?,PA,7450,0,1763,Yes,1
12749,1275350400,1/06/2010 10:00,MANHEIM,2007,CHRYSLER,BLUE,AUTO,1,Alloy,45323,AMERICAN,MEDIUM,CHRYSLER,0,0,0,0,8962,10370,12262,13793,0.889001668,?,?,PA,7890,0,905,Yes,0
12750,1275350400,1/06/2010 10:00,MANHEIM,2007,SUZUKI,GOLD,AUTO,1,Alloy,71244,OTHER ASIAN,MEDIUM SUV,OTHER,0,0,0,0,10094,11680,13659,14962,0.912912712,?,?,PA,8550,0,1155,Yes,0
12751,1275350400,1/06/2010 10:00,MANHEIM,2008,FORD,WHITE,AUTO,1,Alloy,88490,AMERICAN,MEDIUM,FORD,0,0,0,0,11218,13162,15153,17091,0.886606986,?,?,PA,8290,0,853,Yes,0
12752,1275350400,1/06/2010 10:00,MANHEIM,2006,DODGE,SILVER,AUTO,2,Covers,58436,AMERICAN,VAN,CHRYSLER,0,0,0,0,5795,7540,10462,12669,0.825795248,?,?,PA,8390,0,1251,Yes,1
12753,1275350400,1/06/2010 10:00,MANHEIM,2005,DODGE,BLUE,AUTO,2,Covers,87505,AMERICAN,VAN,CHRYSLER,0,0,0,0,4852,6328,9286,10807,0.859257888,?,?,PA,5475,0,1763,Yes,0
12754,1275350400,1/06/2010 10:00,MANHEIM,2003,MITSUBISHI,WHITE,AUTO,2,Covers,87827,OTHER ASIAN,MEDIUM,OTHER,0,0,0,0,2379,3108,4963,5653,0.877940916,?,?,PA,4555,0,894,Yes,0
12755,1275350400,1/06/2010 10:00,MANHEIM,2004,PONTIAC,GREY,AUTO,1,Alloy,78412,AMERICAN,MEDIUM,GM,0,0,0,0,2653,3699,5780,6921,0.835139431,?,?,PA,4705,0,2208,Yes,1
12756,1275955200,8/06/2010 10:00,MANHEIM,2006,DODGE,BLUE,AUTO,1,Alloy,70107,AMERICAN,MEDIUM SUV,CHRYSLER,9471,10952,13778,15492,8438,9587,12817,13821,0.927356921,?,?,PA,8590,0,1389,Yes,0
12757,1275955200,8/06/2010 10:00,MANHEIM,2006,CHRYSLER,SILVER,AUTO,1,Alloy,76481,AMERICAN,MEDIUM,CHRYSLER,5328,6136,9554,10105,6276,7132,9984,10787,0.925558543,?,?,PA,5575,0,1272,Yes,0
12758,1275955200,8/06/2010 10:00,MANHEIM,2003,FORD,BLUE,AUTO,1,Alloy,74446,AMERICAN,MEDIUM,FORD,2747,3890,5626,6850,2446,3431,5596,6665,0.839609902,?,?,PA,4705,0,1220,Yes,1
12759,1275955200,8/06/2010 10:00,MANHEIM,2007,DODGE,GOLD,AUTO,2,Covers,81267,AMERICAN,VAN,CHRYSLER,5510,7055,8460,10832,6217,7884,10232,11527,0.887655071,?,?,PA,6175,0,1763,Yes,0
12760,1275955200,8/06/2010 10:00,MANHEIM,2004,TOYOTA,SILVER,AUTO,3,Special,90554,TOP LINE ASIAN,LARGE,OTHER,7644,8878,11100,12782,6999,8371,10693,12743,0.839127364,?,?,PA,6775,0,620,Yes,1
12761,1275955200,8/06/2010 10:00,MANHEIM,2007,CHRYSLER,WHITE,AUTO,1,Alloy,72015,AMERICAN,CROSSOVER,CHRYSLER,9524,11173,13605,15264,9254,10842,13074,14661,0.891753632,?,?,PA,8490,0,1389,Yes,0
12762,1275955200,8/06/2010 10:00,MANHEIM,2005,HYUNDAI,BLUE,AUTO,2,Covers,74541,OTHER ASIAN,MEDIUM,OTHER,3970,5065,7161,9026,3860,4892,6961,8186,0.850354263,?,?,PA,5430,0,569,Yes,0
12763,1275955200,8/06/2010 10:00,MANHEIM,2006,SATURN,GOLD,AUTO,2,Covers,57286,AMERICAN,MEDIUM,GM,5327,6365,9327,11144,4712,6032,7833,8891,0.881003262,?,?,PA,5980,0,671,Yes,0
12764,1275955200,8/06/2010 10:00,MANHEIM,2003,BUICK,BLUE,AUTO,1,Alloy,80362,AMERICAN,LARGE,GM,4444,5856,7767,10235,4109,5529,7313,9840,0.743191057,?,?,PA,5830,0,2712,Yes,0
12765,1275955200,8/06/2010 10:00,MANHEIM,2003,MERCURY,SILVER,AUTO,1,Alloy,67580,AMERICAN,MEDIUM,FORD,3300,4321,6336,7657,2829,4042,6207,7323,0.847603441,?,?,PA,5105,0,1125,Yes,0
12766,1275955200,8/06/2010 10:00,MANHEIM,2009,FORD,WHITE,AUTO,1,Alloy,81822,AMERICAN,MEDIUM,FORD,13003,15159,17150,18672,12540,15149,15915,18230,0.873011519,?,?,PA,9605,0,853,Yes,0
12767,1275955200,8/06/2010 10:00,MANHEIM,2006,CHRYSLER,GOLD,AUTO,1,Alloy,62501,AMERICAN,CROSSOVER,CHRYSLER,9476,11841,13221,15429,8932,11415,13002,15187,0.856126951,?,?,PA,8090,0,1606,Yes,1
12768,1275955200,8/06/2010 10:00,MANHEIM,2008,SATURN,GREY,AUTO,2,Covers,88864,AMERICAN,MEDIUM,GM,9355,10927,13464,14795,9762,11378,13861,15263,0.908143877,?,?,PA,7075,0,1373,Yes,0
12769,1275955200,8/06/2010 10:00,MANHEIM,2006,MAZDA,SILVER,AUTO,1,Alloy,41400,OTHER ASIAN,MEDIUM,OTHER,7754,9307,11871,13252,7141,8716,11285,12392,0.910668173,?,?,PA,8050,0,764,Yes,1
12770,1275955200,8/06/2010 10:00,MANHEIM,2007,PONTIAC,SILVER,AUTO,1,Alloy,35915,AMERICAN,MEDIUM,GM,8130,9409,11719,13052,8964,10284,12826,14134,0.907457195,?,?,PA,8190,0,822,Yes,0
12771,1275955200,8/06/2010 10:00,MANHEIM,2002,FORD,GREY,AUTO,1,Alloy,79410,AMERICAN,COMPACT,FORD,2995,4018,5769,6757,2588,3489,5312,6043,0.879033593,?,?,PA,5230,0,1455,Yes,0
12772,1275955200,8/06/2010 10:00,MANHEIM,2003,CHEVROLET,GOLD,AUTO,1,Alloy,88925,AMERICAN,VAN,GM,3524,4843,7172,8922,2919,4356,6551,7775,0.842572347,?,?,PA,4945,0,5392,Yes,0
12773,1275955200,8/06/2010 10:00,MANHEIM,2008,FORD,BLACK,AUTO,1,Alloy,74245,AMERICAN,SMALL SUV,FORD,14002,16427,18204,20228,13967,16366,17879,20078,0.890477139,?,?,PA,9805,0,920,Yes,0
12774,1276560000,15/06/2010 10:00,MANHEIM,2004,SATURN,SILVER,AUTO,2,Covers,39610,AMERICAN,MEDIUM,GM,3713,4613,6996,7666,3777,4745,7102,8250,0.860848485,?,?,PA,5330,0,941,Yes,0
12775,1276560000,15/06/2010 10:00,MANHEIM,2001,CHEVROLET,SILVER,AUTO,2,Covers,47764,AMERICAN,MEDIUM,GM,1862,2731,4374,5568,1498,2203,4186,4955,0.844803229,?,?,PA,3805,0,1769,Yes,1
12776,1276560000,15/06/2010 10:00,MANHEIM,2005,CHRYSLER,BLACK,AUTO,2,Covers,83475,AMERICAN,MEDIUM,CHRYSLER,3821,5051,7165,8399,3907,5190,7615,8659,0.879431805,?,?,PA,4805,0,1503,Yes,1
12777,1276560000,15/06/2010 10:00,MANHEIM,2006,CHRYSLER,BLACK,AUTO,1,Alloy,68855,AMERICAN,MEDIUM,CHRYSLER,4850,5161,8821,9086,5806,6876,9556,10473,0.912441516,?,?,PA,5975,0,1118,Yes,0
12778,1276560000,15/06/2010 10:00,MANHEIM,2007,CHRYSLER,BLUE,AUTO,2,Covers,71939,AMERICAN,MEDIUM,CHRYSLER,7536,8704,11454,12592,7540,8617,11353,12403,0.915343062,?,?,PA,7075,0,1155,Yes,0
12779,1276560000,15/06/2010 10:00,MANHEIM,2004,PONTIAC,BEIGE,AUTO,1,Alloy,78832,AMERICAN,MEDIUM,GM,3371,4586,6556,7775,3118,4246,6654,9061,0.734356031,?,?,PA,5230,0,2208,Yes,0
12780,1276560000,15/06/2010 10:00,MANHEIM,2008,DODGE,BLUE,AUTO,2,Covers,45862,AMERICAN,MEDIUM,CHRYSLER,8155,9314,11676,12803,8018,9189,11685,12739,0.917261951,?,?,PA,8190,0,834,Yes,0
12781,1276560000,15/06/2010 10:00,MANHEIM,2007,CHRYSLER,SILVER,AUTO,2,Covers,48263,AMERICAN,MEDIUM,CHRYSLER,7536,8704,11454,12592,7652,8699,11202,12641,0.886164069,?,?,PA,7890,0,834,Yes,0
12782,1276560000,15/06/2010 10:00,MANHEIM,2002,FORD,BLACK,AUTO,1,Alloy,78396,AMERICAN,MEDIUM,FORD,2243,2973,4875,5712,2719,3569,5722,6706,0.853265732,?,?,PA,5830,0,1220,Yes,1
12783,1276560000,15/06/2010 10:00,MANHEIM,2002,JEEP,SILVER,AUTO,1,Alloy,80012,AMERICAN,SMALL SUV,CHRYSLER,5378,6681,8645,10020,4922,5983,8201,9627,0.851874935,?,?,PA,7390,0,1283,Yes,0
12784,1276560000,15/06/2010 10:00,MANHEIM,2007,DODGE,BLUE,AUTO,1,Alloy,85073,AMERICAN,VAN,CHRYSLER,10533,13368,14460,17225,9298,11791,13810,15833,0.872228889,?,?,PA,8090,0,1763,Yes,0
12785,1276560000,15/06/2010 10:00,MANHEIM,2004,FORD,BROWN,AUTO,1,Alloy,61642,AMERICAN,MEDIUM SUV,FORD,6548,8149,10138,11758,5960,7780,9924,11842,0.838034116,?,?,PA,8790,0,1508,Yes,0
12786,1276560000,15/06/2010 10:00,MANHEIM,2008,FORD,WHITE,AUTO,2,Covers,77176,AMERICAN,SMALL TRUCK,FORD,8172,9032,11453,12429,8610,9652,11876,12806,0.927377792,?,?,PA,6575,0,569,Yes,0
12787,1276560000,15/06/2010 10:00,MANHEIM,2006,HYUNDAI,BLACK,AUTO,2,Covers,52311,OTHER ASIAN,MEDIUM,OTHER,5138,6222,8717,9896,4745,5756,8099,9243,0.876230661,?,?,PA,6630,0,505,Yes,0
12788,1276560000,15/06/2010 10:00,MANHEIM,2004,MERCURY,GREEN,AUTO,1,Alloy,73573,AMERICAN,MEDIUM,FORD,4099,5734,7832,9611,4326,5669,7834,9246,0.847285313,?,?,PA,5005,0,920,Yes,0
12789,1276560000,15/06/2010 10:00,MANHEIM,2005,CHRYSLER,GREEN,AUTO,1,Alloy,82845,AMERICAN,VAN,CHRYSLER,7346,7940,11350,12300,8043,9247,12245,13626,0.89864964,?,?,PA,6430,0,1763,Yes,0
12790,1276560000,15/06/2010 10:00,MANHEIM,2006,DODGE,GREY,AUTO,2,Covers,64928,AMERICAN,SPECIALTY,CHRYSLER,7755,9253,12097,13709,6969,8354,10672,12382,0.861896301,?,?,PA,8590,0,1215,Yes,0
12791,1276819200,18/06/2010 10:00,MANHEIM,2008,CHEVROLET,SILVER,AUTO,1,Alloy,86238,AMERICAN,LARGE,GM,8863,9963,12838,13975,8989,10780,12728,14755,0.86262284,?,?,PA,7900,1,2152,Yes,0
12792,1277164800,22/06/2010 10:00,MANHEIM,2005,CHEVROLET,SILVER,AUTO,2,Covers,78674,AMERICAN,COMPACT,GM,3046,4137,5650,7251,2764,3715,5891,6650,0.885864662,?,?,PA,4295,0,1155,Yes,1
12793,1278374400,6/07/2010 10:00,MANHEIM,2003,FORD,GOLD,AUTO,1,Alloy,73206,AMERICAN,MEDIUM,FORD,3334,4563,6476,7981,3004,4117,5862,7190,0.815299026,?,?,PA,5005,0,1220,Yes,0
12794,1278374400,6/07/2010 10:00,MANHEIM,2002,NISSAN,MAROON,AUTO,1,Alloy,77466,TOP LINE ASIAN,MEDIUM,OTHER,4155,5191,7693,9211,4231,5255,7174,8133,0.882085331,?,?,PA,6875,0,986,Yes,1
12795,1278374400,6/07/2010 10:00,MANHEIM,2008,CHEVROLET,WHITE,AUTO,2,Covers,63692,AMERICAN,LARGE,GM,7786,8653,11640,12594,8414,9742,12078,13580,0.889396171,?,?,PA,7790,0,1703,Yes,0
12796,1278374400,6/07/2010 10:00,MANHEIM,2004,DODGE,GREY,AUTO,2,Covers,69440,AMERICAN,MEDIUM SUV,CHRYSLER,6923,8387,10909,12483,6272,7995,9481,11689,0.811104457,?,?,PA,9670,0,1411,Yes,0
12797,1278374400,6/07/2010 10:00,MANHEIM,2008,FORD,SILVER,AUTO,1,Alloy,68691,AMERICAN,MEDIUM,FORD,9927,12258,14492,16447,10933,13690,15082,17575,0.858150782,?,?,PA,8290,0,1313,Yes,0
12798,1278374400,6/07/2010 10:00,MANHEIM,2008,FORD,RED,AUTO,1,Alloy,83951,AMERICAN,MEDIUM,FORD,11574,13510,14782,15968,10214,11444,14615,15773,0.926583402,?,?,PA,7490,0,853,Yes,0
12799,1278374400,6/07/2010 10:00,MANHEIM,2006,BUICK,BLACK,AUTO,2,Covers,82823,AMERICAN,LARGE,GM,7713,9795,11287,13202,7851,9468,11682,13171,0.886948599,?,?,PA,7490,0,1633,Yes,0
12800,1278374400,6/07/2010 10:00,MANHEIM,2005,DODGE,BLACK,AUTO,2,Covers,93169,AMERICAN,VAN,CHRYSLER,3618,4909,5835,7546,4714,6018,7704,9148,0.84215129,?,?,PA,5475,0,1918,Yes,1
12801,1278979200,13/07/2010 10:00,MANHEIM,2003,CHRYSLER,RED,AUTO,2,Covers,72543,AMERICAN,MEDIUM,CHRYSLER,2952,3951,6156,7274,3209,4135,6207,7594,0.817355807,?,?,PA,4705,0,1689,Yes,1
12802,1278979200,13/07/2010 10:00,MANHEIM,2002,HYUNDAI,GOLD,AUTO,2,Covers,84574,OTHER ASIAN,MEDIUM,OTHER,1916,2660,4776,6631,1952,2799,4606,5508,0.836238199,?,?,PA,4105,0,894,Yes,0
12803,1278979200,13/07/2010 10:00,MANHEIM,2006,DODGE,GREY,AUTO,2,Covers,59861,AMERICAN,SPECIALTY,CHRYSLER,8854,10316,12561,14140,8309,9791,12339,13938,0.885277658,?,?,PA,9905,0,1086,Yes,0
12804,1278979200,13/07/2010 10:00,MANHEIM,2004,SATURN,SILVER,AUTO,2,Covers,71958,AMERICAN,MEDIUM,GM,4584,5625,8060,8970,3872,5168,7249,8764,0.827133729,?,?,PA,5830,0,1506,Yes,0
12805,1278979200,13/07/2010 10:00,MANHEIM,2003,HYUNDAI,GOLD,AUTO,1,Alloy,78849,OTHER ASIAN,MEDIUM,OTHER,2750,3739,5814,7335,2855,3711,5921,7234,0.818495991,?,?,PA,5430,0,1103,Yes,1
12806,1278979200,13/07/2010 10:00,MANHEIM,2008,CHEVROLET,GREY,AUTO,2,Covers,69820,AMERICAN,MEDIUM,GM,9991,11555,13798,15391,11379,13143,14960,16624,0.899903754,?,?,PA,9505,0,923,Yes,0
12807,1278979200,13/07/2010 10:00,MANHEIM,2002,FORD,SILVER,AUTO,1,Alloy,65431,AMERICAN,MEDIUM,FORD,2427,3527,5384,6658,2290,3349,5392,6966,0.774045363,?,?,PA,5005,0,1125,Yes,1
12808,1278979200,13/07/2010 10:00,MANHEIM,2008,MERCURY,BLACK,AUTO,1,Alloy,61796,AMERICAN,MEDIUM,FORD,10026,12033,14507,16194,9859,11394,14034,15409,0.910766435,?,?,PA,8990,0,1118,Yes,0
12809,1288656000,2/11/2010 10:00,MANHEIM,2006,CHRYSLER,SILVER,AUTO,2,Covers,62403,AMERICAN,VAN,CHRYSLER,5735,7240,9816,11240,5493,6763,9487,10684,0.88796331,?,?,PA,6475,0,1411,Yes,0
12810,1288656000,2/11/2010 10:00,MANHEIM,2006,FORD,WHITE,AUTO,1,Alloy,61354,AMERICAN,SPORTS,FORD,8388,9783,12445,14299,8748,10023,12377,13826,0.895197454,?,?,PA,8890,0,728,Yes,0
12811,1288656000,2/11/2010 10:00,MANHEIM,2008,DODGE,SILVER,AUTO,2,Covers,46916,AMERICAN,MEDIUM,CHRYSLER,7531,8643,11296,12358,8261,9440,11848,13034,0.909007212,NO,GREEN,PA,7350,0,834,Yes,0
12812,1288656000,2/11/2010 10:00,MANHEIM,2008,FORD,SILVER,AUTO,1,Alloy,84646,AMERICAN,CROSSOVER,FORD,14731,16593,18821,20847,16342,18002,20391,21831,0.934038752,YES,GREEN,PA,11205,0,1633,Yes,0
12813,1288656000,2/11/2010 10:00,MANHEIM,2007,MERCURY,SILVER,AUTO,1,Alloy,64889,AMERICAN,LARGE,FORD,8369,9471,12792,13661,8606,10972,13122,14773,0.888242063,?,?,PA,7690,0,1313,Yes,0
12814,1288656000,2/11/2010 10:00,MANHEIM,2006,CHRYSLER,BLUE,AUTO,1,Alloy,71719,AMERICAN,MEDIUM,CHRYSLER,4439,5226,8266,9189,4041,4780,7731,8457,0.914153955,?,?,PA,4445,0,1272,Yes,1
12815,1288656000,2/11/2010 10:00,MANHEIM,2007,DODGE,BLUE,AUTO,2,Covers,50440,AMERICAN,MEDIUM,CHRYSLER,5904,7160,9913,10833,6176,7579,9909,11329,0.874657957,?,?,PA,7390,0,754,Yes,1
12816,1289174400,8/11/2010 10:00,MANHEIM,2008,CHRYSLER,GREY,AUTO,1,Alloy,69269,AMERICAN,SPECIALTY,CHRYSLER,11003,12278,14774,15935,12081,13955,15621,17444,0.895494153,NO,GREEN,PA,10700,1,1215,Yes,0
12817,1289260800,9/11/2010 10:00,MANHEIM,2003,MERCURY,MAROON,AUTO,1,Alloy,61951,AMERICAN,MEDIUM SUV,FORD,4370,6021,8075,9771,4506,5949,8155,9618,0.847889374,?,?,PA,7750,0,1808,Yes,1
12818,1289260800,9/11/2010 10:00,MANHEIM,2002,FORD,MAROON,AUTO,1,Alloy,73072,AMERICAN,VAN,FORD,2539,3688,5087,7389,2517,3428,5108,5929,0.861528082,NO,GREEN,PA,4905,0,2157,Yes,0
12819,1289260800,9/11/2010 10:00,MANHEIM,2003,SATURN,BLACK,AUTO,2,Covers,66955,AMERICAN,MEDIUM,GM,3080,4142,6035,7206,2937,4048,5468,6740,0.811275964,?,?,PA,4500,0,1613,Yes,0
12820,1289260800,9/11/2010 10:00,MANHEIM,2008,FORD,BLUE,AUTO,1,Alloy,70195,AMERICAN,MEDIUM,FORD,10220,11371,14486,15777,10603,11944,14347,15512,0.924896854,?,?,PA,7790,0,803,Yes,0
12821,1289260800,9/11/2010 10:00,MANHEIM,2006,HYUNDAI,MAROON,AUTO,1,Alloy,81837,OTHER ASIAN,MEDIUM,OTHER,6155,7455,9613,11359,7110,8502,10049,11208,0.89659172,?,?,PA,5375,0,853,Yes,0
12822,1289260800,9/11/2010 10:00,MANHEIM,2003,BUICK,GOLD,AUTO,2,Covers,95254,AMERICAN,MEDIUM,GM,3001,4300,5971,7481,3263,4402,5930,7313,0.810884726,NO,GREEN,PA,4500,0,2651,Yes,0
12823,1289260800,9/11/2010 10:00,MANHEIM,2005,JEEP,SILVER,AUTO,1,Alloy,78747,AMERICAN,MEDIUM SUV,CHRYSLER,8130,9712,11242,13835,7609,9071,12227,14278,0.85635243,NO,GREEN,PA,9305,0,1857,Yes,0
12824,1289260800,9/11/2010 10:00,MANHEIM,2006,CHEVROLET,BLACK,AUTO,2,Covers,63553,AMERICAN,MEDIUM,GM,5834,7069,9750,11209,6455,7625,9874,11489,0.85943076,?,?,PA,6275,0,728,Yes,0
12825,1289260800,9/11/2010 10:00,MANHEIM,2008,CHEVROLET,BLUE,AUTO,1,Alloy,89711,AMERICAN,LARGE,GM,8274,9368,12131,13461,8416,9896,12702,14325,0.886701571,?,?,PA,7290,0,2152,Yes,0
12826,1289260800,9/11/2010 10:00,MANHEIM,2004,DODGE,RED,AUTO,1,Alloy,80735,AMERICAN,MEDIUM SUV,CHRYSLER,7866,9361,11823,13298,7242,9458,11017,13550,0.813062731,?,?,PA,8890,0,1763,Yes,0
12827,1289260800,9/11/2010 10:00,MANHEIM,2003,TOYOTA,SILVER,AUTO,2,Covers,52581,TOP LINE ASIAN,COMPACT,OTHER,4216,4996,7128,8289,4567,5500,6896,8126,0.848634014,NO,GREEN,PA,6475,0,805,Yes,0
12828,1289260800,9/11/2010 10:00,MANHEIM,2006,FORD,SILVER,AUTO,2,Covers,88604,AMERICAN,MEDIUM,FORD,6039,7825,10302,12298,6279,8075,10178,12366,0.823063238,?,?,PA,6475,0,1373,Yes,0
12829,1289260800,9/11/2010 10:00,MANHEIM,2005,CHEVROLET,GREY,AUTO,1,Alloy,81348,AMERICAN,MEDIUM SUV,GM,6389,7570,9416,10702,5905,7136,9264,10595,0.874374705,?,?,PA,5475,0,1503,Yes,0
12830,1289865600,16/11/2010 10:00,MANHEIM,2004,CHRYSLER,BLUE,AUTO,2,Covers,44613,AMERICAN,MEDIUM,CHRYSLER,3335,4360,6529,7746,3093,4109,6200,7762,0.798763205,?,?,PA,4945,0,1046,Yes,0
12831,1289865600,16/11/2010 10:00,MANHEIM,2007,CHEVROLET,MAROON,AUTO,1,Alloy,78380,AMERICAN,LARGE,GM,7559,8875,11232,12796,7162,8573,11674,12745,0.915967046,?,?,PA,7790,0,1974,Yes,0
12832,1289865600,16/11/2010 10:00,MANHEIM,2005,NISSAN,GREY,AUTO,2,Covers,52221,TOP LINE ASIAN,MEDIUM,OTHER,5514,6689,8757,10138,5577,6884,8431,10427,0.808573895,?,?,PA,7990,0,588,Yes,0
12833,1289865600,16/11/2010 10:00,MANHEIM,2007,DODGE,BLUE,AUTO,1,Alloy,87728,AMERICAN,SPECIALTY,CHRYSLER,8878,9786,13090,14429,8315,9206,11863,12872,0.921612803,?,?,PA,8890,0,2022,Yes,0
12834,1289865600,16/11/2010 10:00,MANHEIM,2007,PONTIAC,SILVER,AUTO,1,Alloy,60072,AMERICAN,MEDIUM,GM,7813,9145,11307,12814,7562,8808,10814,12165,0.888943691,?,?,PA,7590,0,1118,Yes,0
12835,1289865600,16/11/2010 10:00,MANHEIM,2005,CHEVROLET,GREEN,AUTO,1,Alloy,85882,AMERICAN,MEDIUM SUV,GM,7650,9254,11220,13354,7718,9524,11509,13583,0.847309136,NO,GREEN,PA,8750,0,1633,Yes,0
12836,1289865600,16/11/2010 10:00,MANHEIM,2003,SATURN,SILVER,AUTO,1,Alloy,90631,AMERICAN,MEDIUM,GM,2955,4167,5765,6986,3252,4423,5768,6787,0.849860027,?,?,PA,4105,0,2939,Yes,0
12837,1289865600,16/11/2010 10:00,MANHEIM,2007,CHEVROLET,RED,AUTO,2,Covers,43274,AMERICAN,COMPACT,GM,4115,5010,7894,8634,5455,6615,8345,10571,0.789423896,NO,GREEN,PA,5045,0,623,Yes,0
12838,1289865600,16/11/2010 10:00,MANHEIM,2007,CHRYSLER,SILVER,AUTO,2,Covers,62839,AMERICAN,SPECIALTY,CHRYSLER,10019,11578,14759,16095,10199,11743,14197,15610,0.909481102,?,?,PA,9505,0,1215,Yes,0
12839,1289865600,16/11/2010 10:00,MANHEIM,2006,CHRYSLER,SILVER,AUTO,1,Alloy,69839,AMERICAN,CROSSOVER,CHRYSLER,7556,9182,10970,12811,8018,9949,11574,13477,0.858796468,?,?,PA,8890,0,1215,Yes,0
